# Baseline SCORE (WORK) — updated after first evaluate.sh run
# algorithm	work	notes
naive_o_n2	571975280	initial schoolbook baseline
record_0002	48678784	entry 0002 by @10d9e
record_0003	45822736	entry 0003 by @10d9e
record_0004	40341088	entry 0004 by @10d9e
record_0005	36505744	entry 0005 by @10d9e
record_0006	35295312	entry 0006 by @10d9e
record_0007	34477104	entry 0007 by @10d9e
record_0008	33142128	entry 0008 by @10d9e
record_0009	33109360	entry 0009 by @10d9e
record_0010	29177200	entry 0010 by @10d9e
record_0011	28234192	entry 0011 by @10d9e
record_0012	27394768	entry 0012 by @10d9e
record_0013	27263696	entry 0013 by @10d9e
record_0014	24560528	entry 0014 by @10d9e
record_0015	21906320	entry 0015 by @10d9e
record_0016	21136272	entry 0016 by @10d9e
record_0017	21070736	entry 0017 by @10d9e
record_0018	21021584	entry 0018 by @10d9e
record_0019	19700960	entry 0019 by @10d9e
record_0020	18883808	entry 0020 by @10d9e
record_0021	17824592	entry 0021 by @10d9e
