# Fixed benchmark fixture metadata (seeds only — arrays generated in harness/fixtures.rs)
# name	seed_a	seed_b
pair_00	0x243f6a8885a308d3	0x13198a2e03707344
pair_01	0xa4093822299f31d0	0x082efa98ec4e6c89
pair_02	0x452821e638d01377	0xbe5466cf34e90c6c
pair_03	0xc0ac29b7c97c50dd	0x3f84d5b5b5470917
pair_04	0x9216d5d98979afb1	0xd1310ba698dfb5ac
pair_05	0x2ffd72dbd01adfb7	0xb8e1afed6a267e96
pair_06	0xba7c9045f12c7f99	0x24a19947b3916cf7
pair_07	0x0801f2e2858efc16	0x636920d871574e69
pair_08	0xa458fea3f4933d7e	0x0d957f4872830b33
pair_09	0x87719f084caf4846	0xbd6db7a759889fb5
pair_10	0x1f355b5a8fa99c6d	0xc2b32952067f6355
pair_11	0x9e3779b185a58d92	0x4694289fe407d7f1
pair_12	0xd16ea7488e3558c3	0xa1ffe70644662f08
pair_13	0xfd69d5b488e57b2c	0xf12c7f9924a19947
pair_14	0xb3916cf70801f2e2	0x858efc16636920d8
pair_15	0x71574e69a458fea3	0xf4933d7e0d957f48
pair_16	0x72830b3387719f08	0x4caf4846bd6db7a7
pair_17	0x59889fb51f355b5a	0x8fa99c6dc2b32952
pair_18	0x067f63559e3779b1	0x85a58d924694289f
pair_19	0xe407d7f1d16ea748	0x8e3558c3a1ffe706
pair_20	0x44662f08fd69d5b4	0x88e57b2cf12c7f99
pair_21	0x24a19947b3916cf7	0x0801f2e2858efc16
pair_22	0x636920d871574e69	0xa458fea3f4933d7e
pair_23	0x0d957f4872830b33	0x87719f084caf4846
pair_24	0xbd6db7a759889fb5	0x1f355b5a8fa99c6d
pair_25	0xc2b32952067f6355	0x9e3779b185a58d92
pair_26	0x4694289fe407d7f1	0xd16ea7488e3558c3
pair_27	0xa1ffe70644662f08	0xfd69d5b488e57b2c
pair_28	0xf12c7f9924a19947	0xb3916cf70801f2e2
pair_29	0x858efc16636920d8	0x71574e69a458fea3
pair_30	0xf4933d7e0d957f48	0x72830b3387719f08
pair_31	0x4caf4846bd6db7a7	0x59889fb51f355b5a
